,handle,tweet,if_tsunami,datetime,day,month,year,time,if_alert_worthy
966,W7VOA,"#Tsunami, up to 1.5 meters high, has hit two cities, sweeping homes away and families are missing, according to officials in #Indonesia. https://www.medcom.id/nasional/peristiwa/ob3VEdPN-gempa-lahirkan-tsunami-di-palu …pic.twitter.com/accNRnC2Hh",True,2018-09-28 07:05:00,28,Sep,2018,7:05 AM,1
967,GerryS,"@infoBMKG statement: #Palu #Earthquake #Tsunami occured at 1027UTC, Tsunami warning was revoked at 1036UTC. Tidal gauge at Mamuju detected an earlier tsunami passing it at 1013UTC. So, BMKG did NOT revoke the Tsunami warning before the tsunami. Let's make that clear.",True,2018-09-28 06:54:00,28,Sep,2018,6:54 AM,1
971,Chikadachina,"Earthquake just off Sulawesi island, Indonesia. Triggering a powerful tsunami. Video captured by a local. #tsunami #indonesia #sulawesi #bbc #cnn #breakingnewspic.twitter.com/vSGuV8sd63",True,2018-09-28 06:02:00,28,Sep,2018,6:02 AM,1
972,andytedi,Pray that all are safe and normal in Donggala as a 7.7 magnitude #earthquake with #tsunami warning occured recently in north of #Palu Sulawesi .                                                 #PrayForDonggalapic.twitter.com/ksFEUIg58v,True,2018-09-28 05:44:00,28,Sep,2018,5:44 AM,1
973,anwar0262,#Tsunami #Earthquake #Indonesia After earthquakes then people attack by tsunami again. Please pray for him : ( #PrayForDonggala #Gempapic.twitter.com/eMlHTpoYig,True,2018-09-28 05:30:00,28,Sep,2018,5:30 AM,1
976,STcom,Huge #quake strikes off #Indonesia island of #Sulawesi prompts #Tsunami alert http://str.sg/oeMK  @infoBMKG @USGSpic.twitter.com/MHAOln2lYJ,True,2018-09-28 03:51:00,28,Sep,2018,3:51 AM,1
977,The_Nation,"Indonesia rocked by 7.5 magnitude quake, tsunami warning issued https://nation.com.pk/28-Sep-2018/indonesia-rocked-by-7-5-magnitude-quake-tsunami-warning-issued … #Indonesia #Tsunami pic.twitter.com/Ea1TuBPZAP",True,2018-09-28 03:42:00,28,Sep,2018,3:42 AM,1
1097,BushraGohar,"#TTPTI #NayaPakhtunkhwa Govt’s 5 years-MPAs allege CM/cabinet corrupt; #TalibanKhan alleges Party MPAs sold votes; CM/Ministers allege coalition partners are corrupt,snakes; CoalitionPartners accuse TTPTI—The promised #Tsunami-blaming each other for corruption & incompetence",True,2018-04-20 23:25:00,20,Apr,2018,11:25 PM,0
717,mssirsa,Look who has reached #Tsunami hit Indonesian island of #Sulawesi very first!  We are so proud of @Khalsa_Aid volunteers who are setting up a free hot food kitchen for 1000s from today in Indonesia  #Respectpic.twitter.com/OERlndM1Gy,True,2018-10-08 19:24:00,8,Oct,2018,7:24 PM,0
276,jdpmoore,"The extent of the collapse at #AnakKrakatau generating the #tsunami is becoming clearer: before (a,d) and after (b-c). Updated estimated collapse region shaded red. (Source: Satellite images ESA Copernicus Hub, annotations and photo by Dr James D. P. Moore/@EOS_SG)pic.twitter.com/4gWG3HwYqI",True,2018-12-30 02:26:00,30,Dec,2018,2:26 AM,0
535,Farhanif72_,Seventeen #Tsunami #prayforanyerpic.twitter.com/JUFzbbd3um,True,2018-12-22 23:24:00,22,Dec,2018,11:24 PM,0
13,GeoSriLanka,"Dinosaurs went extinct 65 million years ago when a massive #asteroid slammed into Earth nearby modern-day Cancun, Mexico. The asteroid triggered an unimaginable 1600-metre high #tsunami wave (1 mile high wave ) that swept across Earth’s oceans https://www.forbes.com/sites/trevornace/2019/01/08/dinosaur-killing-asteroid-triggered-a-mile-high-tsunami-across-the-globe/ …pic.twitter.com/Gun6cdCmL8",True,2019-01-14 14:39:00,14,Jan,2019,2:39 PM,0
282,OysteinLAnderse,"Indonesian authorities have said they will install a #Tsunami early warning system in the waters off #AnakKrakatau volcano. The system will use 3 bouys. With the system in place they hope it will give enough time for evacuations for the coastal areas, in case of another Tsunami.https://twitter.com/BPPT_RI/status/1078949746037841920 …",True,2018-12-29 04:01:00,29,Dec,2018,4:01 AM,0
286,Federation,"One week after the #Krakatoa #tsunami in Indonesia, the number of casualties is now 426 with some 7,202 injured and 40,386 people evacuated.   Over 400 @palangmerah staff & volunteers continue to provide life-saving support to the survivors. #tsunamiresponse #thanksvolunteerspic.twitter.com/KvVen7AADE",True,2018-12-29 01:23:00,29,Dec,2018,1:23 AM,0
551,IFRCAsiaPacific,Photos just in: first aiders evacuate injured people in South Lampung in #Sumatra after the #Krakatoa #tsunami last night. We wish people a speedy recovery. pic.twitter.com/yfls5xXLSc,True,2018-12-22 21:06:00,22,Dec,2018,9:06 PM,0
162,doomalert19,#Tsunami #earthquake #DisasterPreaparedness Before #Christ went to #TheWheel He told one his Ministers on the West Coast that a MAJOR EARTHQUAKE would completely Destroy SanFrancisco and the following Tidal Wave would take out Oakland. Messiah Mini… http://bit.ly/2RCnjCW pic.twitter.com/4Y1HHmJ0NP,True,2019-01-09 12:21:00,9,Jan,2019,12:21 PM,0
985,IronsightEN,You need to be ready for all possibilities... like a Tsunami!  #GetReadyDay #Tsunami pic.twitter.com/0iXroLT4tC,True,2018-09-18 09:05:00,18,Sep,2018,9:05 AM,0
602,Strange_Sounds,"Bang, Bang, Bang: M7.5, M6.0 and M6.6 earthquakes hit off New Caledonia within 3 hours – Small tsunami waves observed – Aftershocks ongoing #earthquake #tsunami http://strangesounds.org/2018/12/bang-bang-bang-m7-5-m6-0-and-m6-6-earthquakes-hit-off-new-caledonia-within-3-hours-small-tsunami-waves-observed-aftershocks-ongoing.html … via @Strange_Soundspic.twitter.com/cx8xicDZzT",True,2018-12-05 05:41:00,5,Dec,2018,5:41 AM,0
722,Khalsa_Aid,Our team is in the Indonesian #Tsunami hit island of #Palu ....They are taken back at the level of devastation.   So much to do ...#Sulawesipic.twitter.com/AcsV5baZmF,True,2018-10-08 03:48:00,8,Oct,2018,3:48 AM,0
677,irisvandeinse,"Nahmawati is one of the survivors of #SulawesiEarthquake #tsunami. Her house is damaged, she lives in a tent now. “People are getting sick” Medical assistance @palangmerah is important, especially since monsoon rain will set in soonpic.twitter.com/NIjRujusG2",True,2018-10-19 20:07:00,19,Oct,2018,8:07 PM,0
1415,TheWatchers_,"#Indonesia #earthquake UPDATE: At least one killed, reports of more deaths and damage after M6.9 earthquake hits #WestJava. #Tsunami warning is now over. http://dlvr.it/Q67Htc  #Java",True,2017-12-15 12:14:00,15,Dec,2017,12:14 PM,0
159,doomalert19,"In 2004, a 9.3 #earthquake & #tsunami struck #Indonesia killing hundreds of thousands of people and WIPING OUT ENTIRE villages.  In many of the villages where EVERYTHING was swept away by the powerful floodwaters, the ONLY thing not destroyed were sever… http://bit.ly/2Rhkbx5 pic.twitter.com/mQLt5OjdUF",True,2019-01-09 15:21:00,9,Jan,2019,3:21 PM,0
1172,UNDP_Pacific,Simultaneous #evacuation drills for #tsunami preparedness for five #Suva schools in #Fiji #tsunami prone areas. Collaboration and partnership between @FijiGovernment @JapanGov @UNDP_Pacific @UNDPasiapac and local stakeholders. #90Drillspic.twitter.com/0sXakxyRI2,True,2018-02-28 17:53:00,28,Feb,2018,5:53 PM,0
1082,nk_satyam6,This is #Tsunami of Modi wave   Nobody party can stop it now  @AmitShah @AmitShahOffice #BJP4BetterKarnataka #BJP4Development #KarnatakaElections2018https://twitter.com/jaiprakashshah2/status/989931664657735681 …,True,2018-05-11 12:45:00,11,May,2018,12:45 PM,0
765,Khalsa_Aid,Our team is in #Tsunami hit #Indonesian island of #Sulawesi !   More UK & India based volunteers are on their way to the island. #Skynews @ashishskynews @SkyNewspic.twitter.com/Kgl8wYv2IP,True,2018-10-04 01:58:00,4,Oct,2018,1:58 AM,0
116,great_ngo,"Not much left after the #tsunami #Banten including education facilities in #Ujungkulon.  Following the assessment w/our friend @IDWanderlust we now fundraise for non formal education facilities.  Inviting the international community, yr donation is much appreciated #volunesiapic.twitter.com/9V7wKKcoNw",True,2019-01-07 03:42:00,7,Jan,2019,3:42 AM,0
1006,KrisNBC,When is a 6.2 #earthquake not a big deal? When it happens 171 miles off shore. Our @nbcbayarea assignment editor @SMurphyNBC called around #Oregon and no one felt it.  @NWS_NTWC says no #tsunami expected. pic.twitter.com/XdwIegCG0V,True,2018-08-22 03:47:00,22,Aug,2018,3:47 AM,0
223,MarkMichaeldom,agreed #earthquakes #solareclipse 2019 #earthquake #tsunami  5.0 uganda   6.7 in brazil  5.2 xingang china  5.7 iraq iran border  7.0 Indonesia all with in 12 hours,True,2019-01-06 09:46:00,6,Jan,2019,9:46 AM,0
731,BritishRedCross,This is just a glimpse of the devastation that the #SulawesiEarthquake & #Tsunami has caused in #Indonesia.  Please donate to @decappeal NOW to help: http://bit.ly/indonesiaappeal pic.twitter.com/yTZz89btzS,True,2018-10-06 07:58:00,6,Oct,2018,7:58 AM,0
42,kendryMA09,Is coming! #Cardinals #Tsunami https://twitter.com/Tsunamy27/status/1083569785500258305 …,True,2019-01-11 14:38:00,11,Jan,2019,2:38 PM,0
84,TsunamiSand,Fantastic to see the 2006 Java #tsunami sediments preserved - at least a portion of the entire #deposit. Here is what the fresh deposits close to Cilacap looked like in 2006:pic.twitter.com/T6Qvh6zcIy,True,2019-01-14 00:23:00,14,Jan,2019,12:23 AM,0
797,YusufDFI,"3 warships, a C-130 & a C-17 carrying relief material & medical personnel on the way to Indonesia #Tsunami https://www.thehindu.com/news/national/india-dispatches-relief-material-to-tsunami-hit-indonesia/article25104069.ece …",True,2018-10-02 07:23:00,2,Oct,2018,7:23 AM,0
954,WMO,Information from #Indonesian meteorological agency about the 7.7 magnitude #earthquake which hit and the resulting #tsunami #tsunamiPaluhttps://twitter.com/infoBMKG/status/1045616058499923968 …,True,2018-09-28 08:19:00,28,Sep,2018,8:19 AM,0
141,LomeMarsupial,"#folkrock #MARKETING #tsunami #music #projects Moods of music. Some stuff, some shlock. Listen to trap music instead.   New equipment on the way to record less macguver-like. hoorah! #diy #nevahcease #myfatbutt #importantcelebritybrainwashtrendspic.twitter.com/P0XLXM5XG2",True,2019-01-12 17:26:00,12,Jan,2019,5:26 PM,0
1203,DSky3,"On the bright side, I just got the award for “‘most creative way to get out of a conference call” at work #mewx #tsunami pic.twitter.com/XNhubgnwdL",True,2018-02-06 05:56:00,6,Feb,2018,5:56 AM,0
157,assemblrworld,"We've seen devastating news on a tsunami disaster recently, and we'd like to share the knowledge to everyone about how tsunamis caused by volcanic eruptions are formed as well as safety tips.⁣ ⁣ Be safe, everyone!⁣ ⁣ #Assemblr #AR #Volcanic #Tsunami pic.twitter.com/kZbUqTlRBs",True,2019-01-11 04:44:00,11,Jan,2019,4:44 AM,0
1043,DCFUnited,TRAILER TOMORROW!!!!!!!. #Aquaman – in theaters December 21. #Tsunami is coming #SDCC #SDCC2018 #JasonMomoa @creepypuppetpic.twitter.com/Wei9Luq4cU,True,2018-07-20 09:52:00,20,Jul,2018,9:52 AM,0
258,Cinecraig,A 6.1-magnitude earthquake struck the Aleutian Islands in Alaska this morning but no tsunami is expected https://bit.ly/2SErFGK  #Alaska #BC #BCcoast #AleutianIslands #earthquake #quake #tsunami,True,2019-01-05 13:50:00,5,Jan,2019,1:50 PM,0
604,NWS_PTWC,The #tsunami threat from the 7.6 magnitude #earthquake southeast of the Loyalty Islands has now largely passed. Minor sea level fluctuations up to 0.3 m may continue over the next few hours. #PTWC https://tsunami.gov/events/PHEB/2018/12/05/18339001/6/WEPA40/WEPA40.txt …,True,2018-12-04 23:16:00,4,Dec,2018,11:16 PM,0
175,doomalert19,"In this Image: Several years ago a 9.3 #earthquake & #tsunami struck #Indonesia killing hundreds of thousands of people and wiping out ENTIRE villages.  In many of the villages where EVERYTHING was swept away by the powerful floodwaters, the ONLY thing … http://bit.ly/2H1oJTr pic.twitter.com/ZBHp5KKQWt",True,2019-01-09 12:21:00,9,Jan,2019,12:21 PM,0
616,EsriDRP,"We are closely monitoring the situation in Anchorage, Alaska.  Our team is available for 24/7 support: http://p.ctx.ly/r/8srv  #Alaska #Anchorage #Tsunami #earthquakes #GIS #Esri #DRP #DisasterResponse @GISPublicSafetypic.twitter.com/kdUKE7XOls",True,2018-11-30 11:55:00,30,Nov,2018,11:55 AM,0
322,Muslim_Aid,Emergency distributions in #Indonesia have begun for those affected by the latest #tsunami. Your donations to our emergency fund enables us to respond swiftly. Donate at http://muslimaid.org  - we never know when or where the next emergency will be . #Krakataupic.twitter.com/slkB8Aohan,True,2018-12-26 06:41:00,26,Dec,2018,6:41 AM,0
865,LastQuake,strong #quake M6.6 strikes Fiji Region 19 min ago. #Tsunami Information issued - Pacific TWC. https://www.emsc-csem.org/Earthquake/earthquake.php?id=715616 …,True,2018-09-30 04:11:00,30,Sep,2018,4:11 AM,0
214,thejakartaglobe,"The #JakartaGlobe team looks back at some of the major events of #2018 – from the #AsianGames hype to devastating #earthquakes, #volcanic #eruptions and #tsunami that bookended the year in tragedies. https://jakartaglobe.id/featured-2/major-events-that-have-marked-2018-in-indonesia/ …pic.twitter.com/nTcVkw4Ubi",True,2019-01-06 17:40:00,6,Jan,2019,5:40 PM,0
278,CATnewsDE,Brief review of Dec. 28 Sentinel-1 data (@sentinel_hub) for #Anak #Krakatoa #eruption #landslide. Well visible areas of land loss and gain (prior Dec. 22nd eruption/landslide). Question remains how much of the dome loss contributed to #tsunami? pic.twitter.com/HVeQSASowc,True,2018-12-29 18:49:00,29,Dec,2018,6:49 PM,0
538,BushraAamir,My thoughts and prayers go out to all those affected by the #Tsunami in #Indonesiahttps://twitter.com/EricssenWen/status/1076686593543462913 …,True,2018-12-22 22:34:00,22,Dec,2018,10:34 PM,0
592,NWS_PTWC,UPDATE 2: The #tsunami threat from the 7.3 mag. #earthquake in Komandorskiye ostrova (Commander Islands) has passed. There is no longer a tsunami threat from this earthquake. #PTWC https://tsunami.gov/events/PHEB/2018/12/20/18354000/3/WEPA40/WEPA40.txt …,True,2018-12-20 10:32:00,20,Dec,2018,10:32 AM,0
222,translatorbali,No #tsunami threat to Australia from mag. 6.8 #earthquake near Northern Molucca Sea. http://ow.ly/TQDN30ncXmN   Latest info. at http://www.bom.gov.au/tsunami  . #BMKGpic.twitter.com/7ZFzZR8gnn,True,2019-01-06 09:53:00,6,Jan,2019,9:53 AM,0
620,M2Gtv,More photos from friends. This one in wasilla about 10miles from us #Alaska #earthquake #tsunami pic.twitter.com/xyQ4hPsiPD,True,2018-11-30 10:51:00,30,Nov,2018,10:51 AM,0
112,David_Bressan,"According to a #Chinese study, the coastline of mainland #China was inundated by a large #tsunami a thousand years ago, triggering the demise of local societies. It is likely to happen again & the resulting devastation could be unimaginable https://tinyurl.com/y8vnhrbc  pic.twitter.com/AIUkIB0bZv",True,2019-01-09 05:03:00,9,Jan,2019,5:03 AM,0
284,MariettaPosts,"A 7.0 Magnitude Earthquake Was Recorded Off The Coast of The Southern Philippines This Morning.  A Tsunami Warning Has Been Issued. The Coasts of Indonesia, The Philippines & Palau May See Waves About Foot Above Tide Levels.  #Earthquake #Tsunami pic.twitter.com/ihxnPPZH04",True,2018-12-29 01:44:00,29,Dec,2018,1:44 AM,0
206,FoxyLady5555,【Nuke Cancer from 9/11 Revealed!!! http://bit.ly/911NukeCancer  http://bit.ly/911NukeBomb 】#saudi #music #fukushima #earthquake #japan #tsunami,True,2019-01-06 00:30:00,6,Jan,2019,12:30 AM,0
1162,koujiohnishi,"#Starryscape Picture of the Day 2018 Mar 10 ""Praying"" 2015/03/14  A yellow handkerchief was swaying. It was near the former Nakahama Elementary School in Yamamoto Town, Miyagi.  It was swept away by the #Tsunami on March 11, 2011. The star shines even on the site where nobody is. pic.twitter.com/UFx7kaXjss",True,2018-03-09 15:33:00,9,Mar,2018,3:33 PM,0
572,Bewickwren,"RT @eha_news: The eruption of the #Krakatoa #volcano in #Indonesia caused a #tsunami in the Sunda strait, which led to the death of 20 people and injured another 140 people  pic.twitter.com/gJNsaaj7w0",True,2018-12-22 17:58:00,22,Dec,2018,5:58 PM,0
